Scale,System,Metric,Mean,Std,CI95
10000,ImportanceScoring,MRR,0.75,0.050000000000000044,0.0692964645562817
10000,ImportanceScoring,Latency_ms,6.610560417175293,0.02422332763671875,0.033571819300261575
10000,EbbinghausDecay,P@10,0.06,0.009999999999999995,0.013859292911256323
10000,EbbinghausDecay,R@10,0.6,0.09999999999999998,0.1385929291125633
10000,EbbinghausDecay,F1@10,0.10909090909090909,0.018181818181818174,0.025198714384102407
10000,EbbinghausDecay,NDCG@10,0.6,0.09999999999999998,0.1385929291125633
10000,EbbinghausDecay,MRR,0.6,0.09999999999999998,0.1385929291125633
10000,EbbinghausDecay,Latency_ms,21.009862422943115,0.4744887351989746,0.6576078364214131
10000,NaiveFIFO,P@10,0.05499999999999999,0.014999999999999996,0.02078893936688449
10000,NaiveFIFO,R@10,0.55,0.14999999999999997,0.2078893936688449
10000,NaiveFIFO,F1@10,0.09999999999999999,0.027272727272727268,0.03779807157615362
10000,NaiveFIFO,NDCG@10,0.55,0.14999999999999997,0.2078893936688449
10000,NaiveFIFO,MRR,0.55,0.14999999999999997,0.2078893936688449
10000,NaiveFIFO,Latency_ms,5.379188060760498,0.02359151840209961,0.03269617637559924
